land_element,tsc_criteria,tsc_landform
"mound spring, raised peaty soak or wetland",59,wetland
wetland complex containing numerous low organic mound springs with moats (estimated 6-12),59,wetland
coastal sand dune and dune swales,"11,40","ridge-dune,depression-swale"
peaty soaks and low peat mounds with moats,59,wetland
underground aquifer.  Geology map code Czk.,,
raised organic mound spring with moat,59,wetland
Dune swale,40,depression-swale
coastal dune and flat on landward side of coastal dune,"11,40","ridge-dune,depression-swale"
1:250 000 geology map unit Qck,,
Takalarup and Boulongup landform units,,
Granite hill,6,hill
"Clay based wetland, open depression",59,wetland
Wetland,59,wetland
Sandy clay flats in valley and lower slopes,"25,33","slope-lower-slope,flat-claypan"
Sandy clay on lower slopes,25,"slope-lower-slope,flat-claypan"
scarp,20,slope
sand dune,11,ridge-dune
lee of dune,40,depression-swale
Lee of dune,40,depression-swale
dunes,11,ridge-dune
lee of dunes,40,depression-swale
dune crest and slopes,"2,11","ridge-dune,crest-dune-crest"
coastal sand dune landward slope,"2,11","ridge-dune,crest-dune-crest"
coastal sand dune swale,"11,40","ridge-dune,depression-swale"
landward slope of coastal sand dune,"2,11","ridge-dune,crest-dune-crest"
valley flat,31,flat-valley-flat
valley between dunes,40,depression-swale
"typically occur in shaded limestone crevices, under rocks or in leaf litter, and feed on decaying leaf and grass fragments",,
top of hill,1,crest-hill-crest
ridge,9,ridge
hills,6,hill
coastal sand dune and swale,"11,40","ridge-dune,depression-swale"
beach front,,
backs onto low cliff above mangroves,,
coastal dune system,"11,40","ridge-dune,depression-swale"
dune system,"11,40","ridge-dune,depression-swale"
"Marsh, gullies",59,wetland
Inundated underground cave,60,cave
longitudinal sand dunes predominantly east-west orientation and ring dunes separate by interdune corridors and sandplains,"11,40","ridge-dune,depression-swale"
coastal dune system and landward flats,"11,40","ridge-dune,depression-swale"
Seasonal wetland - low lying flats,59,wetland
lower colluvial slopes,25,slope-lower-slope
low hill,6,hill
"slope
slope",20,slope
slope. Mesa-flat topped,"4,20","slope, crest-mesa"
drainage line,45,depression-trough
broad sloping valley from approximately 500m asl to 400m asl,31,flat-valley-flat
"sand dunes, gentle N-NE slope","11,40","ridge-dune,depression-swale"
"sand dune, gentle NE slope","11,40","ridge-dune,depression-swale"
dune,"11,40","ridge-dune,depression-swale"
Peat mounds on swamp,57,depression-swamp-closed
calcrete groundwater aquifer.  1:250 000 geology map codes Czk and Qrd,,
headland above beach,1,crest-hill-crest
Interdunal swale and beach,40,depression-swale
"interdunal swale, headland and beach","1,40","depression-swale,crest-hill-crest"
lee of high (29m) dune,40,depression-swale
Banded Ironstone Formation,,
Karst formations supporting submerged microbial mantles and invertebrate communities on subterranean rootmats,,
Karst,,
karst,,
Southern River landform,,
Slope,20,slope
Valley floor,31,flat-valley-flat
Peat mound on swamp,57,depression-swamp-closed
Scarp,,
Wetland in saddle between two mountain peaks,59,wetland
beach,,
coastal sand dune surrounded by intertidal mudflats,"11,40,34","ridge-dune,depression-swale,flat-floodplain"
dune crest and lee dune slope,"11,40","ridge-dune,depression-swale"
exposed dune/headland,"1,11,2","ridge-dune,crest-dune-crest,crest-hill-crest"
Lee of dune and interdunal swale,"11,40","ridge-dune,depression-swale"
lee of dune and headland.  Valley behind dune.,40,depression-swale
"exposed dune, lee of dune, beach and headland","1,11,40,2","ridge-dune,depression-swale,crest-dune-crest,crest-hill-crest"
"coastal sand dunes and swales, beach, and sandstone rock outcrop at one end","11,40,2,18","ridge-dune,depression-swale,crest-dune-crest,outcrop-flat"
beach and sandstone rock outcrop,18,outcrop-flat
headland,1,crest-hill-crest
"lee of dune, inter-dunal swale, beach and headland (vine62), beach and headland (62), Interdunal - Holocene depression (72)","1,11,40,2","ridge-dune,depression-swale,crest-dune-crest,crest-hill-crest"
"Entire Range, all slopes",20,slope
"sandy ridge, dune systems","11,40","ridge-dune,depression-swale"
hilltop,1,crest-hill-crest
upper slope and ridge,"9,23","ridge,slope-upper-slope"
upper slope of ridge,"9,23","ridge,slope-upper-slope"
pediment,24,slope-lower-slope
upper slope and pediment,"9,23","ridge,slope-upper-slope"
lower to mid slope,"24,25","slope-lower-slope,slope-mid-slope"
lee of dune and interdunal swale,40,depression-swale
headland and lee of dune,"1,40","depression-swale,crest-hill-crest"
lee of dune and interdunal swale with central gully and top slopes of dune,"2,23,39","crest-dune-crest,slope-upper-slope,depression-gully"
interdunal swale and dune,"11,40","ridge-dune,depression-swale"
interdunal swale,40,depression-swale
Run on flats,29,flat
Run on flats and gentle slopes,"26,29","slope-gentle-steep,flat"
Low lying flat,29,flat
Low lying clay flat,29,flat
Peat mounds on swamps,57,depression-swamp-closed
Peat mounds on springs,57,depression-swamp-closed
"Sandy rises, flats, wash lines, braided channels","29,47","flat,depression-stream-channel"
"Hilltop, slope","1,20","crest-hill-crest,slope"
"Hilltop, slope, ridgeline, gully","1,20,9,39","crest-hill-crest,slope,ridge,depression-gully"
Mid slope,24,slope-mid-slope
Hill,6,hill
"16 landsystems associated with Marsh; 11 only ass with Fortescue Valley; 3 land systems of sig; Marsh, Marillana, Cowra",,
Range,,
Mid to upper slopes,"25,24","slope-mid-slope, slope-upper-slope"
Flat-topped hill typically rising 30-50m in elevation about the adjoining valley floor,1,crest-hill-crest
Coolibah Land system. Flood plain with weakly gilgaid clay soils,34,flat-floodplain
sandplain,30,flat-plain
Sandplain,30,flat-plain
Perched wetland Elevation approx. 220m,59,wetland
ESE facing moderately inclined lower slope,25,slope-lower-slope
Strata that dip below the floor of the valley to form low-angle cuestas or tilted plateaux,,
Drainage line,45,depression-trough
Small sand dune - thicket on holocene dune adjacent to estuary,"11,40,46","ridge-dune,depression-swale,depression-estuary"
Sand dune crest,2,crest-dune-crest
"Sand sheet. Depth to groundwater in the area is generally greater than 5 m suggesting limited potential for surface water-groundwater interactions, (Rio Tinto 2014).",,
Little Sandy Desert,,
upper slope to pediment,"23,25","slope-upper-slope,slope-lower-slope"
"Ridges/hills, breakaways, side-slopes, broad flats","20,10,6,29","slope,ridge-breakaway,hill,flat"
"Flat to slight rise, seasonally waterlogged","25,29","flat,slope-lower-slope"
rise,25,slope-lower-slope
flats and gentle rise,"25,29","flat,slope-lower-slope"
dune edge,40,depression-swale
BIF hills and outwash,6,hill
"Run-on flats, open flats, no exposed rock present",29,flat
Run-on flats,29,flat
Eighty Mile Land System,,
gently undulating stony plains and prominent ridges and hills (relief up to 100m),"30,6,9","flat-plain,hill,ridge"
Lake in deflation basin between holocene parabolic and nested parabolic dunes,"53,11,40,2","depression-lake,ridge-dune,depression-swale,crest-dune-crest"
Hypersaline marine embayment - effectively a lake,53,depression-lake
Cave,,
Intertidal zone,,
Subterannean aquifer,,
Minor valley base/floodbank,31,flat-valley-flat
Limestone outcrop,14,outcrop
limestone,,
Undulating,,
Spearwood landform (Ludlow Lw - Ludlow Wet Flats),,
Gracetown Ridge system,9,ridge
Bassendean Dunes,"11,40","ridge-dune,depression-swale"
Flat,29,flat
"Midslope, gentle with a SW to W aspect.","24,26","slope-mid-slope,slope-gentle-steep"
Ironstone rise,25,slope-lower-slope
Sandy flat,29,flat
Lake shore,53,depression-lake
"Dune swales, marl limestone",40,depression-swale
Dune swales,40,depression-swale
Low lying flats,29,flat
Low lying seasonally inundated flats,34,flat-floodplain
Flat plain,30,flat-plain
Slight sandy rise,25,slope-lower-slope
Foothills at the base of the scarp,25,slope-lower-slope
Low ridges,9,ridge
Palusplain,36,flat-palusplain
Undulating sandplain,30,flat-plain
Low dune,40,depression-swale
Palusplain (below about 15 AHD).,36,flat-palusplain
Open depression - swale,40,depression-swale
Fluviatile Deposits,,
Gently undulating sand plain,30,flat-plain
"tall dune, open water, vegetated wetland, creek, vegetated uplands","11,40,59,43","ridge-dune,depression-swale,wetland,depression-creek"
vegetated upland and creek,"43,23","depression-creek,slope-upper-slope"
Localised slopes and upland.,"20,23","slope,slope-upper-slope"
Small dune,"11,40","ridge-dune,depression-swale"
Cliff,,
Ridge hill shelf; Pinjarra plain boundary,9,ridge
seasonal wetland. Wet in Winter/Spring,59,wetland
Local gentle slopes to upland.,20,slope
Gentle slopes and upland flats.,"4,26","slope-gentle-steep,crest-mesa"
Gentle slope.,26,slope-gentle-steep
Gentle slopes to local upland flats.,"4,26","slope-gentle-steep,crest-mesa"
Spearwood and Quindalup dunes,"11,40","ridge-dune,depression-swale"
Winter wet flats and slight depressions.,59,wetland
flats,29,flat
tidal flat,29,flat
flat limestone sandy,29,flat
swale,40,depression-swale
Plain and valley,31,flat-valley-flat
low lying slightly sloping to N seasonally inundated flat,34,flat-floodplain
Spearwood Dunes,"11,40","ridge-dune,depression-swale"
steep slopes along edges,"9,26","slope-gentle-steep,ridge"
Quindalup and Spearwood,,
"tall dunes, open water, vegetated wetland, creek, vegetated uplands","11,40,59,43","ridge-dune,depression-swale,wetland,depression-creek"
"Limestone ridge, vegetated wetlands and uplands","1,59","crest-hill-crest,wetland"
"Open water, vegetated uplands and wetland","1,59","crest-hill-crest,wetland"
drainage depression,49,drainageline
"coastal dunes, inland dunes, limestone ridge, open water, vegetated wetlands","11,40,59,43,9","ridge-dune,depression-swale,wetland,depression-creek,ridge"
"tall dune, vegetated uplands",11,ridge-dune
"open water, vegetated wetland, vegetated uplands, dune crest","59,2","crest-dune-crest,wetland"
"open water, vegetated wetland",59,wetland
"dune crest, vegetated uplands",2,crest-dune-crest
"limestone area, open water, vegetated wetland, vegetated uplands","1,59","crest-hill-crest,wetland"
"open water, vegetated uplands, dune crest, limestone ridge","2,9","crest-dune-crest,ridge"
Winter wet flats and slight depressions. Very slight gradient from contour 25 to 20.,59,wetland
"Winter wet flats and slight depressions, between contours 25m & 20m.",59,wetland
"Winter wet flats and slight depressions, on the 40m contour line.",59,wetland
"Winter wet flats and slight depressions, on the 45m contour.",59,wetland
"Winter wet flats and slight depressions, on 50m contour.",59,wetland
"limestone ridge, tall dune, open water, vegetated wetland and uplands","11,40,59,43,9","ridge-dune,depression-swale,wetland,depression-creek,ridge"
"Open water, vegetated wetland and uplands","1,59","crest-hill-crest,wetland"
Lower slope on the 50m contour line.,25,slope-lower-slope
"Lower slope, between 35 and 40m contour lines.",25,slope-lower-slope
"Lowerslope, between 35 and 40m contour lines. Soils mapping desc=Seasonally inundated swamps & depressions or seepage areas near the base of the Foothills.","48,25","slope-lower-slope,depression-swamp-open"
Lake,53,depression-lake
Ranging from gentle slope on hill crest/slope to moderate slope on hill crest (upper slope),"1,24,26","crest-hill-crest,slope-gentle-steep,slope-upper-slope"
"Plain, negligible slope","20,30","slope,flat-plain"
Plain,30,flat-plain
"Undulating plain - Hill crest, gentle slope","1,30,26","hill,plain,slope-gentle-steep"
"Undulating plain, gentle slope","30,26","plain,slope-gentle-steep"
"Open water, vegetated wetland and uplands, creek, river","1,59","crest-hill-crest,wetland,depression-creek,depression-river"
Vegetated wetland and uplands,"1,59","crest-hill-crest,wetland"
wetland,59,wetland
Flat. On the 40m contour.,29,flat
Broad poorly drained flat.,29,flat
Almost flat; located on the 20m contour line.,29,flat
Steep slope,26,slope-gentle-steep
hills upper slope,"21,26","slope-hillslope,slope-upper-slope"
hills lower slope,"21,25","slope-hillslope,slope-lower-slope"
hills middle slope,"21,24","slope-hillslope,slope-mid-slope"
"Very gentle hill slope to undulating plain, negligible slope","21,26,30","slope-hillslope,slope-gentle-steep,plain"
"Gentle hill slope - Midslope, sand dune","21,24,26,11","slope-hillslope,slope-mid-slope,slope-gentle-steep,ridge-dune"
"Hill, moderate slope","21,26,6","slope-hillslope,slope-gentle-steep,hill"
"Hill, gentle slope (lower)","21,26,6","slope-hillslope,slope-gentle-steep,hill"
Moderate hill slope,"21,26","slope-hillslope,slope-gentle-steep"
"Ranges from: Gentle hill slope (site3,6&14) to Plain, negligible slope (site4);","21,26,30","slope-hillslope,slope-gentle-steep,plain"
Swale - Low lying Dampland Gentle Slope; Ferrous rock type,"40,26","swale,slope-gentle-steep"
Low land (intermittent drainage line across paddock) Gentle - negligible slope,"26,34","flat-floodplain,slope-gentle-steep"
"open water, vegetated wetland and uplands","1,59","crest-hill-crest,wetland"
vegetated wetland and uplands,"1,59","crest-hill-crest,wetland"
lake and surrounds,53,depression-lake
Flats with poor subsoil drainage in winter.,29,flat
Interdunal lake,53,depression-lake
Gentle Low Rise,22,slope-simple-slope
Moderate Hil Slope,26,slope-gentle-steep
Gentle undulating plain (low sandy rise-dune),40,depression-swale
Moderate undulating plain (low sandy rise),30,flat-plain
"Hill crest (upper crest of low sandy ridge), Gentle slope",1,crest-hill-crest
Moderate Hil Slope (some lateritic floaters present) surface level plates or boulders,26,slope-gentle-steep
Gentle undulating plain (low sand dune),40,depression-swale
"Hill crest, gentle slope","1,26","slope-gentle-steep,crest-hill-crest"
Gentle Hill Slope (Upland Slope),"23,26","slope-gentle-steep,slope-upper-slope"
Gentle hill slope,26,slope-gentle-steep
Plain to hill crest - low sandhilll,"5,30","flat-plain,crest"
"Vegetated wetlands and uplands, creek","1,59","crest-hill-crest,wetland"
vegetated uplands and wetland,"1,59","crest-hill-crest,wetland"
Vegetated wetlands and uplands,"1,59","crest-hill-crest,wetland"
"open water, vegetated wetland, vegetated uplands","1,59","crest-hill-crest,wetland"
Described as winter wet flats.,60,wetland
Described as wet and semi-wet flats.,61,wetland
Basendean Sands,,
hill crest,1,crest-hill-crest
hills flat,1,crest-hill-crest
Plain to low crest - negligible slope,"5,30","flat-plain,crest"
Gently undulating plain to hill crest,30,flat-plain
Undulating plain,30,flat-plain
"Hill slope/ crest, Lowland and Swale (base of ridge)","21,40","slope-hillslope,depression-swale"
"Plain negligible slope to Hill crest, gentle slope","30,1,26","flat-plain,crest-hill-crest,slope-gentle-steep"
"Plain, gentle slope","30,26","flat-plain,slope-gentle-steep"
"Plain, negligible slope to Hill crest gentle slope","30,1,26","flat-plain,crest-hill-crest,slope-gentle-steep"
"Hill crest, negligible slope",1,crest-hill-crest
"Undulating Plain/ Low hill crest, gentle slope","30,1,26","flat-plain,crest-hill-crest,slope-gentle-steep"
Low-lying drainage line- swamp,"48, 45","depression-trough,depression-swamp-open"
"Plain (lower lying)/ Swamp Land/Sumpland on southern perimeter of wetland, negligible slope","30,55","flat-plain,depression-sumpland-swamp"
alluvial fan,,
"Localised Swamp Foci, negligible slope",55,depression-sumpland-swamp
"Drainage Foci- low lying swampland, negligible slope",55,depression-sumpland-swamp
Gentle Hill slope (lower slopes-base),"21,26,25","slope-hillslope,slope-gentle-steep,slope-lower-slope"
"Undulating Plain, Swampland (lowland isolated in middle of paddock), negligible slope","30,57","flat-plain,depression-sumpland-swamp"
"Sumpland, drainage foci in centre of paddock, holding water in centre, site located on upper slopes, gentle slope","48,23,26","depression-sumpland-swamp,slope-upper-slope,slope-gentle-steep"
"A major portion (89%) of this occurrence is rated as being in Degraded to Good condition. Impacts affecting the reserve include gravel extraction, revegetation and easy access to the public",,
Seasonally-inundated shallow basin (sumpland),55,depression-sumpland-swamp
Seasonally waterlogged flat (palusplain),36,flat-palusplain
Seasonally inundated flat,34,flat-floodplain
Seasonally inundated flat closed depression,34,flat-floodplain
Seasonally waterlogged flat (palusplain) negligible slope,36,flat-palusplain
"Dune swales, closed depression","50,40","depression-swale,depression-closed"
"Dune swales, open depression",40,depression-swale
plain,30,flat-plain
hills upper slope (E027) and gully (E031),"39,23","slope-upper-slope,depression-gully"
valley,31,flat-valley-flat
hills middle slope (L207)/ dune (L295),"2,11","slope-mid-slope,ridge-dune"
Paluslope wetland,36,flat-palusplain
Gentle westerly slope at plot CHAM03 location.,26,slope-gentle-steep
Limestone,,
"Macroscale elongate delta, distributary channels, levees, flats; broad deltaic plain.",30,flat-plain
coffee rock,,
Ridge Hill Shelf soil and landform unit,9,ridge
Riverine system,41,depression-river
Bassendean dune transitioning into a wetland,"11,40,59","ridge-dune,depression-swale,wetland"
"Slope, Ridge Hill Shelf","9,20","slope,ridge"
Low Plain,30,flat-plain
"open water, vegetated wetlands and uplands","1,59","crest-hill-crest,wetland"
massive granite outcropping,14,outcrop
extends from hillslope to creekline,"43,21","slope-hillslope,depression-creek"
Ridge Hill Shelf,9,ridge
Spearwood sands,,
"Palusplain (seasonally waterlogged flat). This site was part of the floodplain of Yule Brook before drainage channels were excavated throughout the area and the bed of the Yule Brook was dredged to
drain adjacent properties.",,
The large area of paddocks northwest of Yule Brook between the railway line and Grove Rd is part of the former extensive floodplain of Yule Brook,34,flat-floodplain
"Sumpland near Bickley Rd grading into a floodplain in the vicinity of Quadrat 6 and into a gentle slope up a dune in the north east of the mapped native
vegetation on Lot 233.","26,55","depression-sumpland-swamp,slope-gentle-steep"
Dempster Landform Unit siltstones and sandstones,,
hills middle to middle slope / hill crest (L279),"6,24,1","hill,slope-middle-slope,crest-hill-crest"
Vegetated uplands and wetlands,"1,59","crest-hill-crest,wetland"
"cululla complex, Dandaragan Plateau",,
"Lowerslope to midslope, gentle with a Westerly aspect","24,25","slope-lower-slope,slope-middle-slope"
Palusplain (seasonally waterlogged flat).,36,flat-palusplain
Palusplain (seasonally waterlogged flat),36,flat-palusplain
Floodplain,34,flat-floodplain
Palusplain.,36,flat-palusplain
"muchae limestone, vegetated wetland and uplands","1,59","crest-hill-crest,wetland"
Upland.,1,crest-hill-crest
Local upland.,1,crest-hill-crest
Low lying seasonal wetland,59,wetland
Dry flat,29,flat
Wet flat,59,wetland
Low lying wet flat/seasonal wetland,59,wetland
Low-lying seasonal wetland,59,wetland
Peninsula in middle of salt system,,
Upper slope,23,slope-upper-slope
Mid-slope,24,slope-mid-slope
Lower slope,25,slope-lower-slope
Upper-middle slope,"24,23","slope-upper-slope,slope-mid-slope"
Lower mid-slope,25,slope-lower-slope
Mid-lower slope,"24,23","slope-lower-slope,slope-mid-slope"
Mid-upper slope,"24,23","slope-upper-slope,slope-mid-slope"
Plain - midslope of gently undulating plain.,"24,30","flat-plain,slope-mid-slope"
Hill top (localised plateau),"6,4","hill,crest-mesa"
Upper slope - hilltop,"6,23","slope-upper-slope,hill"
Hilltop,1,crest-hill-crest
Mid-slope adjacent to waterway,24,slope-mid-slope
Upper slope of valley,23,slope-upper-slope
Mid slopes of valley,24,slope-mid-slope
Mid upper slope,"24,23","slope-upper-slope,slope-mid-slope"
Upper slopes of valley - hilltop (ridge),"9,23","slope-upper-slope,ridge"
Lower valley floor,31,flat-valley-flat
"Lower valley floor, adjacent to a secondary saline lake; 346m above sea level",31,flat-valley-flat
Upper slopes of valley,23,slope-upper-slope
Mid west facing slope,20,slope
Hillside,21,slope-hillslope
Edge of creek,42,depression-riverbank
Midslope; western aspect to upslope,"24,23","slope-upper-slope,slope-mid-slope"
Broad valley floor,31,flat-valley-flat
Low lying calcareous saline flats in old lake bed,53,depression-lake
"Mountain crest, slopes and gullies/drainage depressions","20,1,39","creat-hill-crest,slope,depression-gully"
Sandy rise,22,slope-simple-slope
Shelf at base of scarp,25,slope-lower-slope
Low-lying flat,29,flat
Swale in recent dune,40,depression-swale
Slight rise surrounding damper area,22,slope-simple-slope
Low-lying seasonally inundated flat,34,flat-floodplain
Low lying depression,50,depression-closed
slight rise,22,slope-simple-slope
low-lying flat wetland,59,wetland
gully,39,depression-gully
Rise,22,slope-simple-slope
Shelf adjacent Darling Scarp,,
"Small rise, Boyanup formation",22,slope-simple-slope
Slightly undulating flat plain,30,flat-plain
Gently undulating plain,30,flat-plain
Alluvial plain adjacent to creekline,34,flat-floodplain
Base of scarp,25,slope-lower-slope
hills lower slope (L085)/valley flat (L087),"25,21,31","slope-hillslope,slope-lower-slope,flat-valley-falt"
"Slight rise, wetland",59,wetland
Well drained ironstone ridge to seasonally wet flat,34,flat-floodplain
"Ironstone rise, slightly sloping the S",22,slope-simple-slope
Low lying seasonally inundated slightly sloping site adjacent river,"34,42","flat-floodplain,depression-riverbank"
Seasonally inundated low lying ironstone flats and rises,34,flat-floodplain
Ironstone flat with 10-30% loose ironstone rock (this rock may have been transported here),29,flat
"mid to upper slopes of hill, slope, gull and ridge","24,23,21,39,9","slope-upper-slope,slope-mid-slope,slope-hillslope,depression-gully,ridge"
"Seasonally inundated low lying ironstone flats and rises, slopes down to river","20,29,42","flat,slope,depression-riverbank"
Ironstone rises and flats,29,flat
Low lying seasonally inundated slightly sloping site,"34,22","flat-floodplain,slope-simple-slope"
Limestone ridge,9,ridge
Flat seasonal wetland,59,wetland
Low ridge,9,ridge
low ridge,9,ridge
Low lying ironstone rises and flats,29,flat
Seasonally inundated ironstone flats and rises,29,flat
Low lying ironstone flats and rises,29,flat
Dandaragan Plateau,4,crest-mesa
Paluslope,36,flat-palusplain
Brooking Land System. Prominent ridges of banded iron formation supporting mulga shrublands; occasional minor halophytic communities in the south east.,,
outcropping,14,outcrop
"break of slope, south facing breakaway","20,10","ridge-breakaway,slope"
Small sandy rise,22,slope-simple-slope
Foothills,25,slope-lower-slope
"Low lying seasonally inundated flats, closed depression","50,34","depression-closed,flat-floodplain"
Clayey rise- river flood plain,34,flat-floodplain
Clayey rise,22,slope-simple-slope
Slight rise adjacent minor creekline,22,slope-simple-slope
Slight rise surrounding wetland area,59,wetland
Rise adjacent river floodplain,34,flat-floodplain
gentle slope,26,slope-gentle-steep
Exposed limestone outcropping on the rise; wet flats; lakes,53,depression-lake
Slight rise,22,slope-simple-slope
Clay flat wetland,59,wetland
"Low lying seasonally inundated flats, and creekline",34,flat-floodplain
"JNCODE: Aab h5016;Aab:Amphobolite; fine-grained; contains actinolite and/or hornblende, and calcic plagioclase; deformed pillows common; derived from mafic volcanics",,
WNW facing moderately inclined midslope,"24,26","slope-gentle-steep,slope-mid-slope"
SSW facing gently inclined lower slope,"26,25","slope-gentle-steep,slope-lower-slope"
WSW facing gently inclined midslope,"24,26","slope-gentle-steep,slope-mid-slope"
Base of sandy rise,22,slope-simple-slope
Small rise at foot of Dunsborough fault scarp,22,slope-simple-slope
Cave streams,60,cave
Gradual slope (Ridge Hill Shelf),"9,26","slope-gentle-steep,ridge"
flat plain,30,flat-plain
Aeolian deposits,,
NNW facing gently inclined lower slope,"26,25","slope-gentle-steep,slope-lower-slope"
Low undulating hills,6,hill
Streams and pools in cave,60,cave
Pools and streams in cave,60,cave
Streams and pools in caves,60,cave
Coastal precambrian granite,,
Base of plateau,26,slope-gentle-steep
Slight ridge,9,ridge
Low lying claypan,33,flat-claypan
Gently sloping dune,"11,40","ridge-dune,depression-swale"
Gentle rise,22,slope-simple-slope
Low sandy rise. small sand ridge,22,slope-simple-slope
low lying seasonally inundated flats,34,flat-floodplain
Flat seasonally inundated saline soils,34,flat-floodplain
Estuarine dune system,"11,40","ridge-dune,depression-swale"
Cave pool,60,cave
seasonally inundated slope,20,slope
Low lying flat. Seasonal wetland,59,wetland
Low lying seasonal swamp,57,depression-swamp-closed
slight sandy rise,22,slope-simple-slope
Low sandy rise,22,slope-simple-slope
flat sandy rise,22,slope-simple-slope
Low lying seasonally inundated flat,34,flat-floodplain
"Low lying, seasonally inundated flats",34,flat-floodplain
Low lying flat; Pinjarra Plain,30,flat-plain
Edge of slopes of Ridge Hill Shelf,"9,20","slope,ridge"
Low lying seasonally inundated flat; Boyanup Formation,34,flat-floodplain
claypan,33,flat-claypan
Laterite,,
"Low lying, seasonal creekline",43,depression-creek
Small rocky rise,22,slope-simple-slope
Coastal dune swale,40,depression-swale
Coastal brackish lake,53,depression-lake
Coastal lake,53,depression-lake
seasonally inundated wetland flat,59,wetland
"wetland flat, very shallow closed depression",59,wetland
low-lying seasonally inundated flats,34,flat-floodplain
upland,1,crest-hill-crest
gradual rise,22,slope-simple-slope
Small rise,22,slope-simple-slope
Plateau at base of scarp,,
Palusplain; seasonally inundated flat,36,flat-palusplain
Rise adjacent creekline,42,depression-riverbank
Shoreline of open marine embayment,,
Sandy rise; Clay flat,"22,33","slope-simple-slope,flat-claypan"
Floodplain in a shallow valley,34,flat-floodplain
Floodplain and small paluslope,"36,34","flat-floodplain,flat-palusplain"
"Floodplain, drainage line","34,45","flat-floodplain,depression-trough"
Rare peat cliff formation,,
"Integrated wetland system comprising palusmont, paluslope, palusplain & floodplain","36,34","flat-floodplain,flat-palusplain"
River foreshore,42,depression-riverbank
Paluslope and flood plain,"36,34","flat-floodplain,flat-palusplain"
Flood Plain,34,flat-floodplain
Paluslope and Flood Plain,"36,34","flat-floodplain,flat-palusplain"
paluslope,36,flat-palusplain
Sand Dune,"11,40","ridge-dune,depression-swale"
Sand dune swale,40,depression-swale
"Mountain: crests, sideslopes and gullies","20,1,39","creat-hill-crest,slope,depression-gully"
"valley, riparian zone and most upper slopes","23,37","depression-open-valley,slope-upper-slope"
Seasonal wetland,59,wetland
gradual slope. creekline dissecting plain,"43,26","slope-gentle-steep,depression-creek"
occurs on ridgeline,9,ridge
occurs on slope,20,slope
gentle slope of lower dune,"26,25,11,40","slope-gentle-steep,slope-lower-slope,ridge-dune,depression-swale"
