drainage,tsc_drainage,tsc_criteria
"Good Lake, dampland, sumpland, palusplain, artificial channel",well-drained,1
Eucalyptus staeri open mallee over Agonis theiformis/Dryandra plumosa ssp. plumosa open scrub over Melaleuca straiata/ Banksia nutans Low Scrub B over open sedges on ironstone upper slopes/ crests (site 21),,
"well Lake, dampland, sumpland, palusplain, artificial channel",well-drained,1
"dampland, palusplain, artificial channel",seasonally-inundated,2
"well sumpland, palusplain, creek",well-drained,1
"moderate dampland, artificial channel",moderately-drained,5
"well sumpland, dampland, creek",well-drained,1
"poor sumpland, palusplain.",poorly-drained,6
"Poor-moderate, ?subsurface clay. Wet all year. On 03/05/2012 water level is 1.22m below ground surface. Jasmine Rutherford too numerous readings with EM31 between bore + spring + near spring",poorly-drained,6
over open Anarthria scabra sedges (site 79),,
Eucalyptus staeri open mallee over Hakea pandanicarpa/Agonis theiformis open scrub over dense heath (Beaufortia empetrifolia/Melaleuca thymoides) over open sedge (Site14),,
"well sumpland, palusplain.",well-drained,1
"sumpland, palusplain",seasonally-inundated,2
"creek, dampland, sumpland",seasonally-inundated,2
"Sumpland, dampland and palusplain",seasonally-inundated,2
"dampland, sumpland, palusplain and artificial channel",seasonally-inundated,2
"sumpland, palusplain, floodplain, creek",seasonally-inundated,2
Seasonally poor.,seasonally-inundated,2
Seasonally wet subsoil.,seasonally-inundated,2
well-moderate,moderately-drained,5
Most of the year the pond is separated by horns of dunes from Lake Preston to the east.,permanently-inundated,3
"dampland, palusplain",seasonally-inundated,2
"dampland, floodplain, palusplain, sumpland, artificial channel and creek",seasonally-inundated,2
dampland,seasonally-inundated,2
Dampland,seasonally-inundated,2
"sumpland, dampland, artificial channel",seasonally-inundated,2
Poor.,poorly-drained,6
poorly drained,poorly-drained,6
"sumpland, dampland and artificial channel",seasonally-inundated,2
Permanently Inundated,permanently-inundated,3
well. Some areas waterlogged seasonally,well-drained,1
Poor. Winter/spring inundated wetland.,poorly-drained,6
Empties into the Peel-Harvey estuary.,,
moderate to poor,poorly-drained,6
"sumpland, creek, artificial channel",seasonally-inundated,2
poor - impervious rock substrate,poorly-drained,6
"Sediments: Moist to waterlogged from 0-140 cm, and a water table at about 145 cm on 27.10.07. Piezometer not installed so only one (approximate) water table measurement available.",permanently-inundated,3
"Due to drainage measures most of this area may now be drier than it was in the past. However, within Lot 4, there is a small tributary of Yule Brook that floods into the adjoining bushland in winter.",,
good-poor,moderately-drained,5
"good, although this type is usually associated as a seasonally waterlogged sandy flat",seasonally-inundated,2
"Shallow standing water (about 2 cm) on 27.10.07 (perched water). Sediments moist from 0-250 cm on
27.10.07 but water table not reached. Hard pan below 250 cm that could not be augered through (Site 10)",permanently-inundated,3
sumpland and palusplain,seasonally-inundated,2
Well-drained,well-drained,1
"Poor, very wet in places",poorly-drained,6
Poor - inundated in places,poorly-drained,6
Moderately drained,moderately-drained,5
Poor. Wet in winter/spring,poorly-drained,6
"Poor, impervious clay layer",poorly-drained,6
"Poor, clay impeding layer. seasonally innundated",poorly-drained,6
Poorly drained clays,poorly-drained,6
Highly porous sands,well-drained,1
"Poor, clay substrate",poorly-drained,6
"poor, clay substrate",poorly-drained,6
"moderate, seasonally inundated",moderately-drained,5
"Poor, clay impeding layer. Moderately drained",poorly-drained,6
Poor - impermeable clay soils,poorly-drained,6
"Poor, clay subsoil",poorly-drained,6
seasonally inundated/ moderately drained,seasonally-inundated,2
"Poor, clay soils",poorly-drained,6
Varies from well drained to seasonal inundation,seasonally-inundated,2
Poor where ironstone forms impeding layer,poorly-drained,6
Poor; over ironstone substrate,poorly-drained,6
"Poor where ironstone substrate close to surface, seasonally inundated",poorly-drained,6
"Poor where ironstone forms impeding layer, seasonally inundated, winter and spring",poorly-drained,6
"Poor, clay impeding layer. Seasonally inundated.",poorly-drained,6
Poor - ironstone impeding layer,poorly-drained,6
Poor - impeding clay layer,poorly-drained,6
Winter-Wet,seasonally-inundated,2
Poorly drained estuarine deposits,poorly-drained,6
Well-drained to moderately-drained,moderately-drained,5
"Poor, heavy soils",poorly-drained,6
Wetland areas seasonally inundated,seasonally-inundated,2
"Wetland areas seasonally inundated. Surface water to 25cm deep in places as at 2 July 2019 after 3 weeks of good rain (observed VE, SM)",seasonally-inundated,2
Poor; clay soils,poorly-drained,6
"Poor, granite near surface impedes drainage",poorly-drained,6
"Poor, clay impeding layer. . Light sandy clay soil, probably would not have held water well",poorly-drained,6
Poorly drained clay soils,poorly-drained,6
"Poor, ironstone impeding layer",poorly-drained,6
Poor -deep ponding up to 1m,poorly-drained,6
Poor - impeding clay layer. Wet in winter/spring,poorly-drained,6
"Very porous sands, dry",well-drained,1
"Poor, clay impeding layer. Up to 5cm of water on 29/09/2011",poorly-drained,6
clay impeding layer,poorly-drained,6
Seasonally Inundated,seasonally-inundated,2
Catchment,,
well drained; Very porous sands,well-drained,1
Inflow of fresh groundwater. Permanently inundated,permanently-inundated,3
Clay impedes drainage,poorly-drained,6
"Poor, impeding layer in soil structure",poorly-drained,6
Poor; calcareous substrate; seasonally inundated,poorly-drained,6
Poor - Inundated in winter,poorly-drained,6
"Poor, peat impeding layer",poorly-drained,6
N/A,,
"Poor, rock substrate",poorly-drained,6
Well-drained; Poor - inundated in winter,seasonally-inundated,2
Walpole River catchment,,
Walpole Inlet,,
Collier Creek/Walpole River catchment,,
Butler Creek/Walpole River catchment,,
Nornalup Inlet,,
moderately drained,moderately-drained,5
Deep River catchment,,
Frankland River catchment,,
"Weld/Deep River catchment, moderately to poorly drained",poorly-drained,6
Weld/Deep River catchment moderate to poorly draining,poorly-drained,6
"Weld/Deep River catchment, poor-moderately drained",poorly-drained,6
Weld/Deep River catchment,,
Brooke Inlet,,
Bell Brook/Deep River catchment,,
Shannon River catchment,,
Chesapeake/Shannon River catchment,,
Doggerup Creek,,
Blackwater Creek/Gardner River catchments,,
Poor - impeding clay layer. Wet in winter/spring.,poorly-drained,6
good - moist soil,well-drained,1
Soils is free draining,well-drained,1
Soil is free draining,well-drained,1
well-drained,well-drained,1
"poor, winter wet",poorly-drained,6
wet flat,permanently-inundated,3
soil dry at 13/09/2011,,
"moderate, winter wet",moderately-drained,5
"moderate, winter damp",moderately-drained,5
"well drained, winter wet",well-drained,1
"poor drainage, winter wet",poorly-drained,6
"moderately drained, wet in winter/spring",moderately-drained,5
"well drained, wet in winter and spring",well-drained,1
"Relatively poor, clay subsurface",poorly-drained,6
"poor-moderate. Water 0-5cm, winter wet",poorly-drained,6
"moderate-poor drainage, winter wet",seasonally-inundated,2
"Two main aquifer systems - Channel Iron Deposits in-fill (alluvium) of palaeochannel, and Hamersley Bedrock Group",,
Tidal,tidal,4
well drained dune crest,well-drained,1
"poor. Water to 5cm, wet in winter and spring",poorly-drained,6
poor. green/yellow/orange microbial mat across floor impedes drainage. Winter wet.,poorly-drained,6
poor (winter wet),poorly-drained,6
Estuary drains to ocean at times,permanently-inundated,3
Moist (middle of occurrence was inundated during visit (04/08/2014),seasonally-inundated,2
inundated: spring fed wetland with peat mound,permanently-inundated,3
inundated: springfed wetland with peat substrate,permanently-inundated,3
red brown light clay,poorly-drained,6
"entire formation inundated, deeper water at the periphery forms a moat",permanently-inundated,3
Inundated,permanently-inundated,3
Seasonnaly inundated,seasonally-inundated,2
Extensive aquifer systems of the Pilbara discharge groundwater to form permanently flowing creeks.,permanently-inundated,3
Inlets draining from NW into spring.,permanently-inundated,3
"Poor, clay base. Soil saturated, surface water 12, 13 October 2016",poorly-drained,6
"Poor, clay base. Soil near saturated 12, 13 October 2016",poorly-drained,6
permanently inundated,permanently-inundated,3
claypan,poorly-drained,6
Depositional surfaces hardplains and internal drainage tracts,,
"drainage line, permantly inundated",permanently-inundated,3
Seaonally inundated,seasonally-inundated,2
Seasonally damp,seasonally-inundated,2
Seasonally wet with poor drainage,seasonally-inundated,2
"Seasonally inundated, poor drainage",seasonally-inundated,2
